id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,internacional
731,It,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
732,Carrie,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
733,Pesadilla en Elm Street,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
734,Viernes 13,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
735,La cosa,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
736,Crepúsculo,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
737,Los juegos del hambre,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
738,Divergente,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
739,El secreto de sus ojos,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
740,Relatos salvajes,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
741,El viaje de Chihiro,Cine y TV,Película,Alta,Media,Actual,Internacional,true
742,Mi vecino Totoro,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
743,Ponyo,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
744,Cómo entrenar a tu dragón,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
745,"Gru, mi villano favorito",Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
746,Los Croods,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
747,Ice Age,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
748,Hotel Transilvania,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
749,El castillo ambulante,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
750,Coraline,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
751,El jorobado de Notre Dame,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
752,La dama y el vagabundo,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
753,La bella durmiente,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
754,Los aristogatos,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
755,Lilo y Stitch,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
756,Red,Cine y TV,Película,Alta,Media,Actual,Internacional,true
757,Del revés,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
758,Elemental,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
759,Soul,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
760,Luca,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
761,El príncipe de Egipto,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
762,Spirit: El corcel indomable,Cine y TV,Película,Media,Difícil,Actual,Internacional,true
763,Cars,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
764,Brave,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
765,Footloose,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
766,Cuenta conmigo,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
767,Willow,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
769,El príncipe de Zamunda,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
770,Dos policías rebeldes,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
771,El gran Lebowski,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
772,Django desencadenado,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
774,Memento,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
775,El club de la lucha,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
776,American Beauty,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
777,Cadena perpetua,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
778,Casino,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
779,Uno de los nuestros,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
780,Scarface,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
781,Heat,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
782,Vértigo,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
783,La ventana indiscreta,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
784,Apocalypse Now,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
785,Platoon,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
786,Billy Elliot,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
787,Full Monty,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
788,Bridget Jones,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
789,Atrápame si puedes,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
790,Big,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
791,La terminal,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
792,El diablo viste de Prada,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
793,Erin Brockovich,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
794,Thelma y Louise,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
796,Sister Act,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
797,La señora Doubtfire,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
798,Zoolander,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
799,Resacón en Las Vegas,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
801,Ted,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
802,Watchmen,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
803,V de Vendetta,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
804,Sin City,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
805,Espartaco,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
806,El gran dictador,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
807,Tiempos modernos,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
808,El pianista,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
809,El discurso del rey,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
810,Slumdog Millionaire,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
811,Intocable,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
812,Amélie,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
813,La vida de Brian,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
814,Los intocables de Eliot Ness,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
815,El patriota,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
816,Apolo 13,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
817,Contact,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
818,Gravity,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
819,La llegada,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
820,Ready Player One,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
821,Matilda,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
822,Big Fish,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
823,Chicken Run,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
824,Wallace y Gromit,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
826,Los ladrones van a la oficina,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
827,Manos a la obra,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
828,Camera Café,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
829,Hospital Central,Cine y TV,Serie,Alta,Media,Actual,Nacional,false
830,"Policías, en el corazón de la calle",Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
831,El príncipe,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
832,Rapa,Cine y TV,Serie,Media,Difícil,Actual,Nacional,false
833,24,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
834,The Wire,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
835,Mindhunter,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
836,The Umbrella Academy,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
837,Urgencias,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
838,CSI,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
839,NCIS,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
840,"Buffy, cazavampiros",Cine y TV,Serie,Alta,Media,Actual,Internacional,true
841,Embrujadas,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
842,Twin Peaks,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
843,Ally McBeal,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
844,Salvados por la campana,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
845,Cosas de casa,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
846,El coche fantástico,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
847,Xena: la princesa guerrera,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
848,Hércules: sus viajes legendarios,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
850,Smallville,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
851,Héroes,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
852,Ted Lasso,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
854,Spartacus,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
855,Boardwalk Empire,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
857,Mr. Robot,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
858,Westworld,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
860,Lupin,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
861,La asistenta,Cine y TV,Serie,Media,Difícil,Actual,Internacional,true
862,The White Lotus,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
863,The Good Place,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
864,Community,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
865,Manolo García,Música,Cantante,Alta,Media,Actual,Nacional,false
866,Ana Mena,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false
867,John Lennon,Música,Cantante,Alta,Media,Siglo XX,Internacional,true
868,Paul McCartney,Música,Cantante,Alta,Media,Actual,Internacional,true
869,Rihanna,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
870,Katy Perry,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
871,Stevie Wonder,Música,Cantante,Alta,Media,Actual,Internacional,true
872,Ray Charles,Música,Cantante,Alta,Media,Actual,Internacional,true
873,Jim Morrison,Música,Cantante,Alta,Media,Actual,Internacional,true
874,Kurt Cobain,Música,Cantante,Alta,Media,Actual,Internacional,true
875,Enya,Música,Cantante,Media,Difícil,Actual,Internacional,true
876,Chayanne,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
877,Luis Fonsi,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
878,Carlos Vives,Música,Cantante,Media,Difícil,Actual,Internacional,true
879,Maluma,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
880,Don Omar,Música,Cantante,Media,Difícil,Actual,Internacional,true
881,Morad,Música,Cantante,Media,Difícil,Actual,Internacional,true
882,Dani Martín,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false
883,Antonio Orozco,Música,Cantante,Alta,Media,Actual,Nacional,false
884,Marta Sánchez,Música,Cantante,Alta,Media,Actual,Nacional,false
885,Chenoa,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false
886,David Bustamante,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false
887,Rosa López,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false
888,Sergio Dalma,Música,Cantante,Alta,Media,Actual,Nacional,false
889,José Luis Perales,Música,Cantante,Alta,Media,Actual,Nacional,false
890,Ana Belén,Música,Cantante,Alta,Media,Actual,Nacional,false
891,Víctor Manuel,Música,Cantante,Alta,Media,Actual,Nacional,false
892,Luz Casal,Música,Cantante,Alta,Media,Actual,Nacional,false
893,Miguel Bosé,Música,Cantante,Alta,Media,Actual,Internacional,true
894,Dani Fernández,Música,Cantante,Media,Difícil,Actual,Nacional,false
895,Álex Ubago,Música,Cantante,Alta,Media,Actual,Nacional,false
896,Sam Smith,Música,Cantante,Alta,Media,Actual,Internacional,true
897,Harry Styles,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
898,Selena Gomez,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
899,Sia,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
900,Pink,Música,Cantante,Alta,Media,Actual,Internacional,true
901,Jennifer Hudson,Música,Cantante,Media,Difícil,Actual,Internacional,true
902,Usher,Música,Cantante,Alta,Media,Actual,Internacional,true
903,Alicia Keys,Música,Cantante,Alta,Media,Actual,Internacional,true
904,Maroon 5,Música,Grupo,Alta,Media,Actual,Internacional,true
905,Jason Derulo,Música,Cantante,Media,Difícil,Actual,Internacional,true
906,Will Smith,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
907,Snoop Dogg,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
908,Eminem,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
909,50 Cent,Música,Cantante,Alta,Media,Actual,Internacional,true
910,Dr. Dre,Música,Cantante,Media,Difícil,Actual,Internacional,true
911,Kendrick Lamar,Música,Cantante,Media,Difícil,Actual,Internacional,true
912,Tupac,Música,Cantante,Alta,Media,Actual,Internacional,true
913,Notorious B.I.G.,Música,Cantante,Media,Difícil,Actual,Internacional,true
914,El Último de la Fila,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
915,Celtas Cortos,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
916,Extremoduro,Música,Grupo,Muy alta,Fácil,Siglo XX,Nacional,false
917,Fito & Fitipaldis,Música,Grupo,Muy alta,Fácil,Siglo XX,Nacional,false
918,Vetusta Morla,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
919,Amaral,Música,Grupo,Alta,Media,Siglo XX,Nacional,false
920,Pereza,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
921,Jarabe de Palo,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
922,Ska-P,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
923,The Cure,Música,Grupo,Alta,Media,Siglo XX,Internacional,true
924,One Direction,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
926,Muse,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
927,Arctic Monkeys,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
928,Daft Punk,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
929,Blur,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
930,The Doors,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
931,The Who,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
932,Kiss,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
933,Iron Maiden,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
934,Deep Purple,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
935,Fleetwood Mac,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
936,Bee Gees,Música,Grupo,Alta,Media,Siglo XX,Internacional,true
937,Simon & Garfunkel,Música,Grupo,Alta,Media,Siglo XX,Internacional,true
938,Simply Red,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
939,Pet Shop Boys,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
940,Jamiroquai,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
941,Manic Street Preachers,Música,Grupo,Media,Difícil,Siglo XX,Internacional,true
942,Dover,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
943,La Quinta Estación,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
944,La Unión,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
945,Presuntos Implicados,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
946,Seguridad Social,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
947,M-Clan,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
948,Nacha Pop,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
949,Duncan Dhu,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
950,Héroes del Silencio,Música,Grupo,Muy alta,Fácil,Siglo XX,Nacional,false
951,Siniestro Total,Música,Grupo,Media,Difícil,Siglo XX,Nacional,false
952,Novak Djokovic,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
953,Roger Federer,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
954,Carlos Alcaraz,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
955,Fernando Hierro,Deportes,Deportista,Alta,Media,Actual,Internacional,true
956,Gavi,Deportes,Deportista,Alta,Media,Actual,Internacional,true
957,Lamine Yamal,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
958,Luis Enrique,Deportes,Entrenador,Alta,Media,Actual,Internacional,true
959,Thibaut Courtois,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
960,Toni Kroos,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
961,Mohamed Salah,Deportes,Deportista,Alta,Media,Actual,Internacional,true
962,Robert Lewandowski,Deportes,Deportista,Alta,Media,Actual,Internacional,true
963,Harry Kane,Deportes,Deportista,Alta,Media,Actual,Internacional,true
964,Kevin De Bruyne,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
965,Jude Bellingham,Deportes,Deportista,Alta,Media,Actual,Internacional,true
966,Antoine Griezmann,Deportes,Deportista,Alta,Media,Actual,Internacional,true
967,Thierry Henry,Deportes,Deportista,Alta,Media,Actual,Internacional,true
968,Ronaldo Nazário,Deportes,Deportista,Alta,Media,Actual,Internacional,true
969,Gianluigi Buffon,Deportes,Deportista,Alta,Media,Actual,Internacional,true
970,Oliver Kahn,Deportes,Deportista,Alta,Media,Actual,Internacional,true
971,Mia Hamm,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
972,Alexia Putellas,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
973,Aitana Bonmatí,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
974,Pedro Delgado,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
975,Carlos Sainz padre,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
976,Pau Gasol,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
977,Ricky Rubio,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
978,Amaya Valdemoro,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
979,Fernando Martín,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
980,Ayrton Senna,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
981,Max Verstappen,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
982,Valentino Rossi,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
983,LeBron James,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
984,Kobe Bryant,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,true
985,Magic Johnson,Deportes,Deportista,Alta,Media,Actual,Internacional,true
986,Ronnie O'Sullivan,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
987,Michael Johnson,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
988,Carl Lewis,Deportes,Deportista,Alta,Media,Actual,Internacional,true
989,Yelena Isinbayeva,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
990,Marc Gasol,Deportes,Deportista,Alta,Media,Actual,Internacional,true
991,Rafael Martín Vázquez,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
992,Butragueño,Deportes,Deportista,Alta,Media,Actual,Internacional,true
993,Hugo Sánchez,Deportes,Deportista,Alta,Media,Actual,Internacional,true
994,Cesc Fàbregas,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
995,Ryan Giggs,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
996,Steven Gerrard,Deportes,Deportista,Alta,Media,Actual,Internacional,true
997,Frank Lampard,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
998,Andrea Pirlo,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
999,Francesco Totti,Deportes,Deportista,Alta,Media,Actual,Internacional,true
1000,Gianluigi Donnarumma,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
1001,Iker Muniain,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
1002,Isco,Deportes,Deportista,Alta,Media,Actual,Internacional,true
1003,Jesús Navas,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
1004,Álvaro Morata,Deportes,Deportista,Alta,Media,Actual,Internacional,true
1005,Dani Carvajal,Deportes,Deportista,Media,Difícil,Actual,Internacional,true
1006,Rembrandt,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1007,Claude Monet,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1008,Édouard Manet,Arte,Pintor,Media,Difícil,Siglo XX,Internacional,true
1009,Paul Cézanne,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1010,Georges Seurat,Arte,Pintor,Baja,Muy difícil,Siglo XX,Internacional,true
1011,Henri Matisse,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1012,Gustav Klimt,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1013,Edvard Munch,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1014,Jackson Pollock,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1015,Roy Lichtenstein,Arte,Pintor,Baja,Muy difícil,Siglo XX,Internacional,true
1017,Le Corbusier,Arte,Arquitecto,Media,Difícil,Siglo XX,Internacional,true
1018,Caravaggio,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1019,Botticelli,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1020,Vermeer,Arte,Pintor,Alta,Media,Siglo XX,Internacional,true
1021,La maja desnuda,Arte,Cuadro,Media,Difícil,Siglo XX,Internacional,true
1022,La noche estrellada,Arte,Cuadro,Alta,Media,Siglo XX,Internacional,true
1023,Los girasoles,Arte,Cuadro,Alta,Media,Siglo XX,Internacional,true
1024,David de Miguel Ángel,Arte,Escultura,Alta,Media,Siglo XX,Internacional,true
1025,La creación de Adán,Arte,Cuadro,Alta,Media,Siglo XX,Internacional,true
1026,Victor Hugo,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1027,Edgar Allan Poe,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1028,Dante Alighieri,Literatura,Escritor,Media,Difícil,Siglo XX,Internacional,true
1029,Jane Austen,Literatura,Escritora,Alta,Media,Siglo XX,Internacional,true
1030,George Orwell,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1031,Ernest Hemingway,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1032,Virginia Woolf,Literatura,Escritora,Media,Difícil,Siglo XX,Internacional,true
1033,Herman Melville,Literatura,Escritor,Media,Difícil,Siglo XX,Internacional,true
1034,Ken Follett,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1035,Umberto Eco,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1036,Isabel Allende,Literatura,Escritora,Alta,Media,Siglo XX,Internacional,true
1037,Arturo Pérez-Reverte,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1038,Carlos Ruiz Zafón,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1039,Antonio Machado,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1040,Gustavo Adolfo Bécquer,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1041,Benito Pérez Galdós,Literatura,Escritor,Alta,Media,Siglo XX,Internacional,true
1042,Emilia Pardo Bazán,Literatura,Escritora,Media,Difícil,Siglo XX,Internacional,true
1043,Rosalía de Castro,Literatura,Escritora,Alta,Media,Actual,Internacional,false
1044,Calderón de la Barca,Literatura,Escritor,Media,Difícil,Siglo XX,Internacional,true
1045,El Lazarillo de Tormes,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1046,La Celestina,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1047,La Ilíada,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1048,La isla del tesoro,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1049,Los tres mosqueteros,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1050,El nombre de la rosa,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1051,La sombra del viento,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1052,Don Juan Tenorio,Literatura,Personaje,Alta,Media,Siglo XX,Internacional,true
1053,Fuenteovejuna,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1054,Platero y yo,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1055,Campos de Castilla,Literatura,Obra,Media,Difícil,Siglo XX,Internacional,false
1056,Fortunata y Jacinta,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1057,La Regenta,Literatura,Obra,Alta,Media,Siglo XX,Internacional,true
1058,Nada,Literatura,Obra,Media,Difícil,Siglo XX,Internacional,true
1059,El camino,Literatura,Obra,Media,Difícil,Siglo XX,Internacional,true
1060,La casa de los espíritus,Literatura,Obra,Media,Difícil,Siglo XX,Internacional,true
1062,Gengis Kan,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1063,Isabel la Católica,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1064,Felipe II,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1065,Simón Bolívar,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1066,José de San Martín,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1067,Emiliano Zapata,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1068,Pancho Villa,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1069,Che Guevara,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,Internacional,true
1070,Fidel Castro,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1071,Mao Zedong,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1072,Nerón,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1073,Calígula,Historia,Personaje histórico,Media,Difícil,Siglo XX,Internacional,true
1075,Hatshepsut,Historia,Personaje histórico,Baja,Muy difícil,Siglo XX,Internacional,true
1076,Moisés,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,true
1077,Confucio,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1078,Sócrates,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1079,Platón,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1080,Nicolás Copérnico,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1081,Johannes Kepler,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1082,Alexander Graham Bell,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1083,Louis Pasteur,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1084,Sigmund Freud,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1085,Vasco da Gama,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1086,Fernando de Magallanes,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
1087,Hernán Cortés,Historia,Personaje histórico,Alta,Media,Siglo XX,Internacional,true
