id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,infantil,internacional
778,Casino,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
779,Uno de los nuestros,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
780,Scarface,Películas,Película,Alta,Media,Histórica,Internacional,false,true
781,Heat,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
782,Vértigo,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
783,La ventana indiscreta,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
784,Apocalypse Now,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
785,Platoon,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
786,Billy Elliot,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
787,Full Monty,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
788,Bridget Jones,Películas,Película,Alta,Media,Histórica,Internacional,false,true
789,Atrápame si puedes,Películas,Película,Alta,Media,Histórica,Internacional,false,true
790,Big,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
791,La terminal,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
792,El diablo viste de Prada,Películas,Película,Alta,Media,Histórica,Internacional,false,true
793,Erin Brockovich,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
794,Thelma y Louise,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
796,Sister Act,Películas,Película,Alta,Media,Histórica,Internacional,false,true
797,La señora Doubtfire,Películas,Película,Alta,Media,Histórica,Internacional,false,true
798,Zoolander,Películas,Película,Alta,Media,Histórica,Internacional,false,true
799,Resacón en Las Vegas,Películas,Película,Alta,Media,Histórica,Internacional,false,true
801,Ted,Películas,Película,Alta,Media,Histórica,Internacional,false,true
802,Watchmen,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
803,V de Vendetta,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
804,Sin City,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
805,Espartaco,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
806,El gran dictador,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
807,Tiempos modernos,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
808,El pianista,Películas,Película,Alta,Media,Histórica,Internacional,false,true
809,El discurso del rey,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
810,Slumdog Millionaire,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
811,Intocable,Películas,Película,Alta,Media,Histórica,Internacional,false,true
812,Amélie,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
813,La vida de Brian,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
814,Los intocables de Eliot Ness,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
815,El patriota,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
816,Apolo 13,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
817,Contact,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
818,Gravity,Películas,Película,Alta,Media,Histórica,Internacional,false,true
819,La llegada,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
820,Ready Player One,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
821,Matilda,Películas,Película,Alta,Media,Histórica,Internacional,false,true
822,Big Fish,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
823,Chicken Run,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
824,Wallace y Gromit,Películas,Película,Media,Difícil,Histórica,Internacional,false,true
826,Los ladrones van a la oficina,Series,Serie,Media,Difícil,Actual,Nacional,false,false
827,Manos a la obra,Series,Serie,Media,Difícil,Actual,Nacional,false,false
828,Camera Café,Series,Serie,Alta,Media,Actual,Nacional,false,false
829,Hospital Central,Series,Serie,Alta,Media,Actual,Nacional,false,false
830,"Policías, en el corazón de la calle",Series,Serie,Media,Difícil,Actual,Nacional,false,false
831,El príncipe,Series,Serie,Media,Difícil,Actual,Nacional,false,false
832,Rapa,Series,Serie,Media,Difícil,Actual,Nacional,false,false
833,24,Series,Serie,Alta,Media,Actual,Internacional,false,true
834,The Wire,Series,Serie,Alta,Media,Actual,Internacional,false,true
835,Mindhunter,Series,Serie,Alta,Media,Actual,Internacional,false,true
836,The Umbrella Academy,Series,Serie,Alta,Media,Actual,Internacional,false,true
837,Urgencias,Series,Serie,Alta,Media,Actual,Internacional,false,true
838,CSI,Series,Serie,Alta,Media,Actual,Internacional,false,true
839,NCIS,Series,Serie,Alta,Media,Actual,Internacional,false,true
840,"Buffy, cazavampiros",Series,Serie,Alta,Media,Actual,Internacional,false,true
841,Embrujadas,Series,Serie,Alta,Media,Actual,Internacional,false,true
842,Twin Peaks,Series,Serie,Alta,Media,Actual,Internacional,false,true
843,Ally McBeal,Series,Serie,Alta,Media,Actual,Internacional,false,true
844,Salvados por la campana,Series,Serie,Alta,Media,Actual,Internacional,false,true
845,Cosas de casa,Series,Serie,Alta,Media,Actual,Internacional,false,true
846,El coche fantástico,Series,Serie,Alta,Media,Clásica,Internacional,false,true
847,Xena: la princesa guerrera,Series,Serie,Alta,Media,Clásica,Internacional,false,true
848,Hércules: sus viajes legendarios,Series,Serie,Alta,Media,Clásica,Internacional,false,true
850,Smallville,Series,Serie,Alta,Media,Clásica,Internacional,false,true
851,Héroes,Series,Serie,Alta,Media,Clásica,Internacional,false,true
852,Ted Lasso,Series,Serie,Alta,Media,Actual,Internacional,false,true
854,Spartacus,Series,Serie,Alta,Media,Clásica,Internacional,false,true
855,Boardwalk Empire,Series,Serie,Alta,Media,Clásica,Internacional,false,true
857,Mr. Robot,Series,Serie,Alta,Media,Actual,Internacional,false,true
858,Westworld,Series,Serie,Alta,Media,Actual,Internacional,false,true
860,Lupin,Series,Serie,Alta,Media,Actual,Internacional,false,true
861,La asistenta,Series,Serie,Media,Difícil,Actual,Internacional,false,true
862,The White Lotus,Series,Serie,Alta,Media,Actual,Internacional,false,true
863,The Good Place,Series,Serie,Alta,Media,Actual,Internacional,false,true
864,Community,Series,Serie,Alta,Media,Actual,Internacional,false,true
865,Manolo García,Música,Cantante,Alta,Media,Actual,Nacional,false,false
866,Ana Mena,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false,false
867,John Lennon,Música,Cantante,Alta,Media,Histórica,Internacional,false,true
868,Paul McCartney,Música,Cantante,Alta,Media,Actual,Internacional,false,true
869,Rihanna,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
870,Katy Perry,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
871,Stevie Wonder,Música,Cantante,Alta,Media,Actual,Internacional,false,true
872,Ray Charles,Música,Cantante,Alta,Media,Actual,Internacional,false,true
873,Jim Morrison,Música,Cantante,Alta,Media,Actual,Internacional,false,true
874,Kurt Cobain,Música,Cantante,Alta,Media,Actual,Internacional,false,true
875,Enya,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
876,Chayanne,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
877,Luis Fonsi,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
878,Carlos Vives,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
879,Maluma,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
880,Don Omar,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
881,Morad,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
882,Dani Martín,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false,false
883,Antonio Orozco,Música,Cantante,Alta,Media,Actual,Nacional,false,false
884,Marta Sánchez,Música,Cantante,Alta,Media,Actual,Nacional,false,false
885,Chenoa,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false,false
886,David Bustamante,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false,false
887,Rosa López,Música,Cantante,Muy alta,Fácil,Actual,Nacional,false,false
888,Sergio Dalma,Música,Cantante,Alta,Media,Actual,Nacional,false,false
889,José Luis Perales,Música,Cantante,Alta,Media,Actual,Nacional,false,false
890,Ana Belén,Música,Cantante,Alta,Media,Actual,Nacional,false,false
891,Víctor Manuel,Música,Cantante,Alta,Media,Actual,Nacional,false,false
892,Luz Casal,Música,Cantante,Alta,Media,Actual,Nacional,false,false
893,Miguel Bosé,Música,Cantante,Alta,Media,Actual,Internacional,false,true
894,Dani Fernández,Música,Cantante,Media,Difícil,Actual,Nacional,false,false
895,Álex Ubago,Música,Cantante,Alta,Media,Actual,Nacional,false,false
896,Sam Smith,Música,Cantante,Alta,Media,Actual,Internacional,false,true
897,Harry Styles,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
898,Selena Gomez,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
899,Sia,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
900,Pink,Música,Cantante,Alta,Media,Actual,Internacional,false,true
901,Jennifer Hudson,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
902,Usher,Música,Cantante,Alta,Media,Actual,Internacional,false,true
903,Alicia Keys,Música,Cantante,Alta,Media,Actual,Internacional,false,true
904,Maroon 5,Música,Grupo,Alta,Media,Actual,Internacional,false,true
905,Jason Derulo,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
906,Will Smith,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
907,Snoop Dogg,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
908,Eminem,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
909,50 Cent,Música,Cantante,Alta,Media,Actual,Internacional,false,true
910,Dr. Dre,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
911,Kendrick Lamar,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
912,Tupac,Música,Cantante,Alta,Media,Actual,Internacional,false,true
913,Notorious B.I.G.,Música,Cantante,Media,Difícil,Actual,Internacional,false,true
914,El Último de la Fila,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
915,Celtas Cortos,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
916,Extremoduro,Música,Grupo,Muy alta,Fácil,Histórica,Nacional,false,false
917,Fito & Fitipaldis,Música,Grupo,Muy alta,Fácil,Histórica,Nacional,false,false
918,Vetusta Morla,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
919,Amaral,Música,Grupo,Alta,Media,Histórica,Nacional,false,false
920,Pereza,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
921,Jarabe de Palo,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
922,Ska-P,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
923,The Cure,Música,Grupo,Alta,Media,Histórica,Internacional,false,true
924,One Direction,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
926,Muse,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
927,Arctic Monkeys,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
928,Daft Punk,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
929,Blur,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
930,The Doors,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
931,The Who,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
932,Kiss,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
933,Iron Maiden,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
934,Deep Purple,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
935,Fleetwood Mac,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
936,Bee Gees,Música,Grupo,Alta,Media,Histórica,Internacional,false,true
937,Simon & Garfunkel,Música,Grupo,Alta,Media,Histórica,Internacional,false,true
938,Simply Red,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
939,Pet Shop Boys,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
940,Jamiroquai,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
941,Manic Street Preachers,Música,Grupo,Media,Difícil,Histórica,Internacional,false,true
942,Dover,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
943,La Quinta Estación,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
944,La Unión,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
945,Presuntos Implicados,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
946,Seguridad Social,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
947,M-Clan,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
948,Nacha Pop,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
949,Duncan Dhu,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
950,Héroes del Silencio,Música,Grupo,Muy alta,Fácil,Histórica,Nacional,false,false
951,Siniestro Total,Música,Grupo,Media,Difícil,Histórica,Nacional,false,false
952,Novak Djokovic,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
953,Roger Federer,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
954,Carlos Alcaraz,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
955,Fernando Hierro,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
956,Gavi,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
957,Lamine Yamal,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
958,Luis Enrique,Deportes,Entrenador,Alta,Media,Actual,Internacional,false,true
959,Thibaut Courtois,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
960,Toni Kroos,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
961,Mohamed Salah,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
962,Robert Lewandowski,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
963,Harry Kane,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
964,Kevin De Bruyne,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
965,Jude Bellingham,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
966,Antoine Griezmann,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
967,Thierry Henry,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
968,Ronaldo Nazário,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
969,Gianluigi Buffon,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
970,Oliver Kahn,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
971,Mia Hamm,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
972,Alexia Putellas,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
973,Aitana Bonmatí,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
974,Pedro Delgado,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
975,Carlos Sainz padre,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
976,Pau Gasol,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
977,Ricky Rubio,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
978,Amaya Valdemoro,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
979,Fernando Martín,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
980,Ayrton Senna,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
981,Max Verstappen,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
982,Valentino Rossi,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
983,LeBron James,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
984,Kobe Bryant,Deportes,Deportista,Muy alta,Fácil,Actual,Internacional,false,true
985,Magic Johnson,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
986,Ronnie O'Sullivan,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
987,Michael Johnson,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
988,Carl Lewis,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
989,Yelena Isinbayeva,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
990,Marc Gasol,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
991,Rafael Martín Vázquez,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
992,Butragueño,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
993,Hugo Sánchez,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
994,Cesc Fàbregas,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
995,Ryan Giggs,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
996,Steven Gerrard,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
997,Frank Lampard,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
998,Andrea Pirlo,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
999,Francesco Totti,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
1000,Gianluigi Donnarumma,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
1001,Iker Muniain,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
1002,Isco,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
1003,Jesús Navas,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
1004,Álvaro Morata,Deportes,Deportista,Alta,Media,Actual,Internacional,false,true
1005,Dani Carvajal,Deportes,Deportista,Media,Difícil,Actual,Internacional,false,true
1006,Rembrandt,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1007,Claude Monet,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1008,Édouard Manet,Arte,Pintor,Media,Difícil,Histórica,Internacional,false,true
1009,Paul Cézanne,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1010,Georges Seurat,Arte,Pintor,Baja,Muy difícil,Histórica,Internacional,false,true
1011,Henri Matisse,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1012,Gustav Klimt,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1013,Edvard Munch,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1014,Jackson Pollock,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1015,Roy Lichtenstein,Arte,Pintor,Baja,Muy difícil,Histórica,Internacional,false,true
1017,Le Corbusier,Arte,Arquitectura,Media,Difícil,Histórica,Internacional,false,true
1018,Caravaggio,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1019,Botticelli,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1020,Vermeer,Arte,Pintor,Alta,Media,Histórica,Internacional,false,true
1021,La maja desnuda,Arte,Pintura,Media,Difícil,Histórica,Internacional,false,true
1022,La noche estrellada,Arte,Pintura,Alta,Media,Histórica,Internacional,false,true
1023,Los girasoles,Arte,Pintura,Alta,Media,Histórica,Internacional,false,true
1024,David de Miguel Ángel,Arte,Escultura,Alta,Media,Histórica,Internacional,false,true
1025,La creación de Adán,Arte,Pintura,Alta,Media,Histórica,Internacional,false,true
1026,Victor Hugo,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1027,Edgar Allan Poe,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1028,Dante Alighieri,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1029,Jane Austen,Literatura,Escritora,Alta,Media,Histórica,Internacional,false,true
1030,George Orwell,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1031,Ernest Hemingway,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1032,Virginia Woolf,Literatura,Escritora,Media,Difícil,Histórica,Internacional,false,true
1033,Herman Melville,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1034,Ken Follett,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1035,Umberto Eco,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1036,Isabel Allende,Literatura,Escritora,Alta,Media,Histórica,Internacional,false,true
1037,Arturo Pérez-Reverte,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1038,Carlos Ruiz Zafón,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1039,Antonio Machado,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1040,Gustavo Adolfo Bécquer,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1041,Benito Pérez Galdós,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
1042,Emilia Pardo Bazán,Literatura,Escritora,Media,Difícil,Histórica,Internacional,false,true
1043,Rosalía de Castro,Literatura,Escritora,Alta,Media,Actual,Internacional,false,false
1044,Calderón de la Barca,Literatura,Escritor,Media,Difícil,Histórica,Internacional,false,true
1045,El Lazarillo de Tormes,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1046,La Celestina,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1047,La Ilíada,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1048,La isla del tesoro,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1049,Los tres mosqueteros,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1050,El nombre de la rosa,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1051,La sombra del viento,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1052,Don Juan Tenorio,Literatura,Personaje,Alta,Media,Histórica,Internacional,false,true
1053,Fuenteovejuna,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1054,Platero y yo,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1055,Campos de Castilla,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,false
1056,Fortunata y Jacinta,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1057,La Regenta,Literatura,Obra,Alta,Media,Histórica,Internacional,false,true
1058,Nada,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,true
1059,El camino,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,true
1060,La casa de los espíritus,Literatura,Obra,Media,Difícil,Histórica,Internacional,false,true
1062,Gengis Kan,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1063,Isabel la Católica,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1064,Felipe II,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1065,Simón Bolívar,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1066,José de San Martín,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1067,Emiliano Zapata,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1068,Pancho Villa,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1069,Che Guevara,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
1070,Fidel Castro,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1071,Mao Zedong,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1072,Nerón,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1073,Calígula,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1075,Hatshepsut,Historia,Personaje histórico,Baja,Muy difícil,Histórica,Internacional,false,true
1076,Moisés,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
1077,Confucio,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1078,Sócrates,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1079,Platón,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1080,Nicolás Copérnico,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1081,Johannes Kepler,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1082,Alexander Graham Bell,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1083,Louis Pasteur,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1084,Sigmund Freud,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1085,Vasco da Gama,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1086,Fernando de Magallanes,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1087,Hernán Cortés,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1088,Francisco Pizarro,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1089,Rey Arturo,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1090,Ricardo Corazón de León,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1091,Luis XIV,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1092,María Antonieta,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1093,Catalina la Grande,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1094,Pedro el Grande,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1095,Mata Hari,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1096,Rasputín,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1098,Ana Bolena,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1099,Enrique VIII,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1100,Juana la Loca,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1101,Carlos V,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1102,Alfonso X el Sabio,Historia,Personaje histórico,Alta,Media,Clásica,Nacional,false,false
1103,Don Pelayo,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1104,El Cid,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1105,Blas de Lezo,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1106,Agustina de Aragón,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1107,Manuel Belgrano,Historia,Personaje histórico,Media,Difícil,Histórica,Internacional,false,true
1108,Eva Perón,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1109,Rosa Parks,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1110,Valentina Tereshkova,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1111,Yuri Gagarin,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1112,Neil Armstrong,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
1113,Buzz Aldrin,Historia,Personaje histórico,Alta,Media,Histórica,Internacional,false,true
1115,Alhambra,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1116,Acueducto de Segovia,Lugares,Lugar,Media,Difícil,Histórica,Nacional,false,false
1117,Puerta de Alcalá,Lugares,Lugar,Media,Difícil,Histórica,Nacional,false,false
1118,Museo del Prado,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1120,Berlín,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1121,Atenas,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1122,El Cairo,Lugares,Lugar,Media,Difícil,Histórica,Internacional,false,true
1123,Nueva Orleans,Lugares,Lugar,Media,Difícil,Histórica,Internacional,false,true
1124,Los Ángeles,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1125,San Francisco,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1126,Río de Janeiro,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1127,Buenos Aires,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1128,Ciudad de México,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1129,La Habana,Lugares,Lugar,Muy alta,Fácil,Histórica,Internacional,false,true
1132,Gran Cañón,Lugares,Lugar,Media,Difícil,Histórica,Internacional,false,true
1133,Cataratas del Niágara,Lugares,Lugar,Media,Difícil,Histórica,Internacional,false,true
1134,Cataratas de Iguazú,Lugares,Lugar,Media,Difícil,Histórica,Internacional,false,true
