id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,tipo,infantil
894,Víctor Manuel,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
895,Luz Casal,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
896,Miguel Bosé,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
897,Dani Fernández,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
898,Álex Ubago,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
899,Sam Smith,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
900,Harry Styles,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
901,Selena Gomez,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
902,Sia,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
903,Pink,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
904,Jennifer Hudson,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
905,Usher,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
906,Alicia Keys,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
907,Maroon 5,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
908,Jason Derulo,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
909,Will Smith,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
910,Snoop Dogg,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
911,Eminem,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
912,50 Cent,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
913,Dr. Dre,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
914,Kendrick Lamar,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
915,Tupac,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
916,Notorious B.I.G.,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
917,El Último de la Fila,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
918,Celtas Cortos,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
919,Extremoduro,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
920,Fito & Fitipaldis,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
921,Vetusta Morla,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
922,Amaral,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
923,Pereza,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
924,Jarabe de Palo,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
925,Ska-P,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
926,The Cure,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
927,One Direction,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
928,Black Eyed Peas,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
929,Muse,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
930,Arctic Monkeys,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
931,Daft Punk,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
932,Blur,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
933,The Doors,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
934,The Who,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
935,Kiss,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
936,Iron Maiden,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
937,Deep Purple,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
938,Fleetwood Mac,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
939,Bee Gees,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
940,Simon & Garfunkel,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
941,Simply Red,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
942,Pet Shop Boys,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
943,Jamiroquai,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
944,Manic Street Preachers,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
945,Dover,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
946,La Quinta Estación,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
947,La Unión,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
948,Presuntos Implicados,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
949,Seguridad Social,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
950,M-Clan,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
951,Nacha Pop,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
952,Duncan Dhu,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
953,Héroes del Silencio,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
954,Siniestro Total,Grupo musical,Grupo,Muy alta,Difícil,Histórica,Grupo,Sí
955,Novak Djokovic,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
956,Roger Federer,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
957,Carlos Alcaraz,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
958,Fernando Hierro,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
959,Gavi,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
960,Lamine Yamal,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
961,Luis Enrique,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
962,Thibaut Courtois,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
963,Toni Kroos,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
964,Mohamed Salah,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
965,Robert Lewandowski,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
966,Harry Kane,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
967,Kevin De Bruyne,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
968,Jude Bellingham,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
969,Antoine Griezmann,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
970,Thierry Henry,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
971,Ronaldo Nazário,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
972,Gianluigi Buffon,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
973,Oliver Kahn,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
974,Mia Hamm,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
975,Alexia Putellas,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
976,Aitana Bonmatí,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
977,Pedro Delgado,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
978,Carlos Sainz padre,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
979,Pau Gasol,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
980,Ricky Rubio,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
981,Amaya Valdemoro,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
982,Fernando Martín,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
983,Ayrton Senna,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
984,Max Verstappen,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
985,Valentino Rossi,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
986,LeBron James,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
987,Kobe Bryant,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
988,Magic Johnson,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
989,Ronnie O'Sullivan,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
990,Michael Johnson,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
991,Carl Lewis,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
992,Yelena Isinbayeva,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
993,Marc Gasol,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
994,Rafael Martín Vázquez,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
995,Butragueño,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
996,Hugo Sánchez,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
997,Cesc Fàbregas,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
998,Ryan Giggs,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
999,Steven Gerrard,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1000,Frank Lampard,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1001,Andrea Pirlo,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1002,Francesco Totti,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1003,Gianluigi Donnarumma,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1004,Iker Muniain,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1005,Isco,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1006,Jesús Navas,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1007,Álvaro Morata,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1008,Dani Carvajal,Deportes,Deportista,Muy alta,Fácil,Actual,Persona,Sí
1009,Rembrandt,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1010,Claude Monet,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1011,Édouard Manet,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1012,Paul Cézanne,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1013,Georges Seurat,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1014,Henri Matisse,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1015,Gustav Klimt,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1016,Edvard Munch,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1017,Jackson Pollock,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1018,Roy Lichtenstein,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1019,Antoni Gaudí,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1020,Le Corbusier,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1021,Caravaggio,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1022,Botticelli,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1023,Vermeer,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1024,La maja desnuda,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1025,La noche estrellada,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1026,Los girasoles,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1027,David de Miguel Ángel,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1028,La creación de Adán,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1029,Victor Hugo,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1030,Edgar Allan Poe,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1031,Dante Alighieri,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1032,Jane Austen,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1033,George Orwell,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1034,Ernest Hemingway,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1035,Virginia Woolf,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1036,Herman Melville,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1037,Ken Follett,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1038,Umberto Eco,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1039,Isabel Allende,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1040,Arturo Pérez-Reverte,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1041,Carlos Ruiz Zafón,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1042,Antonio Machado,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1043,Gustavo Adolfo Bécquer,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1044,Benito Pérez Galdós,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1045,Emilia Pardo Bazán,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1046,Rosalía de Castro,Arte y literatura,Arte y literatura,Muy alta,Fácil,Actual,Persona,Sí
1047,Calderón de la Barca,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1048,El Lazarillo de Tormes,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1049,La Celestina,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1050,La Ilíada,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1051,La isla del tesoro,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1052,Los tres mosqueteros,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1053,El nombre de la rosa,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1054,La sombra del viento,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1055,Don Juan Tenorio,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1056,Fuenteovejuna,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1057,Platero y yo,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1058,Campos de Castilla,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1059,Fortunata y Jacinta,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1060,La Regenta,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1061,Nada,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1062,El camino,Arte y literatura,Arte y literatura,Muy alta,Fácil,Histórica,Persona,Sí
1063,La casa de los espíritus,Arte y literatura,Arte y literatura,Muy alta,Difícil,Histórica,Obra,Sí
1064,Colón,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1065,Gengis Kan,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1066,Isabel la Católica,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1067,Felipe II,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1068,Simón Bolívar,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1069,José de San Martín,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1070,Emiliano Zapata,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1071,Pancho Villa,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1072,Che Guevara,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1073,Fidel Castro,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1074,Mao Zedong,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1075,Nerón,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1076,Calígula,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1077,Ramsés II,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1078,Hatshepsut,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1079,Moisés,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1080,Confucio,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1081,Sócrates,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1082,Platón,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1083,Nicolás Copérnico,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1084,Johannes Kepler,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1085,Alexander Graham Bell,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1086,Louis Pasteur,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1087,Sigmund Freud,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1088,Vasco da Gama,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1089,Fernando de Magallanes,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1090,Hernán Cortés,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1091,Francisco Pizarro,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1092,Rey Arturo,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1093,Ricardo Corazón de León,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1094,Luis XIV,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1095,María Antonieta,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1096,Catalina la Grande,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1097,Pedro el Grande,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1098,Mata Hari,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1099,Rasputín,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1100,Marie Antoinette,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1101,Ana Bolena,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1102,Enrique VIII,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1103,Juana la Loca,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1104,Carlos V,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1105,Alfonso X el Sabio,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1106,Don Pelayo,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1107,El Cid,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1108,Blas de Lezo,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1109,Agustina de Aragón,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1110,Manuel Belgrano,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1111,Eva Perón,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1112,Rosa Parks,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1113,Valentina Tereshkova,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1114,Yuri Gagarin,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1115,Neil Armstrong,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1116,Buzz Aldrin,Historia,Historia,Muy alta,Media,Histórica,Persona,Sí
1117,Pirámides de Egipto,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1118,Alhambra,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1119,Acueducto de Segovia,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1120,Puerta de Alcalá,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1121,Museo del Prado,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1122,Canarias,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1123,Berlín,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1124,Atenas,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1125,El Cairo,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1126,Nueva Orleans,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1127,Los Ángeles,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1128,San Francisco,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1129,Río de Janeiro,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1130,Buenos Aires,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1131,Ciudad de México,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1132,La Habana,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1133,Sahara,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1134,Antártida,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1135,Gran Cañón,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1136,Cataratas del Niágara,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1137,Cataratas de Iguazú,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1138,Stonehenge,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1139,Muro de Berlín,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1140,Times Square,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1141,Central Park,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1142,Puente de Brooklyn,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1143,Camp Nou,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1144,Santiago Bernabéu,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1145,Wembley,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1146,Puerta del Sol,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1147,Plaza Mayor de Madrid,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1148,Plaza de España,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1149,Mezquita de Córdoba,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1150,Catedral de Santiago,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1151,Catedral de Burgos,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1152,Guggenheim de Bilbao,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1153,Teide,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1154,Costa Brava,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1155,Costa del Sol,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1156,Formentera,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1157,Menorca,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1158,Picos de Europa,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1159,Cabo de Finisterre,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1160,Algarve,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1161,Lago Ness,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1162,Fiordos noruegos,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1163,Monte Fuji,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1164,Pekín,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1165,Shanghái,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1166,Seúl,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1167,Bangkok,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1168,Singapur,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1169,Sídney,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1170,Auckland,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1171,Ciudad del Cabo,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1172,Dubái,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1173,Estambul,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1174,Praga,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1175,Viena,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1176,Ámsterdam,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1177,Bruselas,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1178,Lisboa,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1179,Dublín,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1180,Edimburgo,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1181,Mónaco,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1182,Córcega,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1183,Malta,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1184,Sicilia,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1185,Capri,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1186,Santorini,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1187,Mykonos,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
1188,Spotify,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1189,Microsoft,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1190,Porsche,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1191,Peugeot,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1192,Citroën,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1193,Ford,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1194,Cruzcampo,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1195,Mahou,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1196,Estrella Galicia,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1197,Danone,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1198,KitKat,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1199,Kleenex,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1200,Colgate,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1201,Nivea,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
1202,Gillette,Marcas,Marca,Muy alta,Fácil,Actual,Marca,Sí
