id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,internacional
1943,La oca,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
81,Frodo,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
674,Michael Schumacher,Deportes,Automovilismo,Muy alta,Fácil,Siglo XX,true
1140,Camp Nou,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1202,Decathlon,Marcas,Empresa,Muy alta,Fácil,Actual,true
381,Bob Marley,Música,Cantante,Muy alta,Fácil,Siglo XX,true
1945,Cartas,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
82,Gollum,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
681,Dani Pedrosa,Deportes,Motociclismo,Muy alta,Fácil,Siglo XX,true
1141,Santiago Bernabéu,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1203,Carrefour,Marcas,Empresa,Muy alta,Fácil,Actual,true
384,Frank Sinatra,Música,Cantante,Muy alta,Fácil,Siglo XX,true
1950,Solitario,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
83,Drácula,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
952,Novak Djokovic,Deportes,Deportista,Muy alta,Fácil,Actual,true
1143,Puerta del Sol,Lugares,Lugar,Muy alta,Fácil,Siglo XX,false
1204,Mercadona,Marcas,Empresa,Muy alta,Fácil,Actual,false
389,Justin Bieber,Música,Cantante,Muy alta,Fácil,Actual,true
84,Frankenstein,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
953,Roger Federer,Deportes,Deportista,Muy alta,Fácil,Actual,true
1146,Mezquita de Córdoba,Lugares,Lugar,Muy alta,Fácil,Siglo XX,false
1205,El Corte Inglés,Marcas,Empresa,Muy alta,Fácil,Actual,false
390,Ed Sheeran,Música,Cantante,Muy alta,Fácil,Actual,true
85,Pinocho,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
954,Carlos Alcaraz,Deportes,Deportista,Muy alta,Fácil,Actual,true
1147,Catedral de Santiago,Lugares,Lugar,Muy alta,Fácil,Siglo XX,false
1206,Wallapop,Marcas,Tecnología,Muy alta,Fácil,Actual,false
391,Bruno Mars,Música,Cantante,Muy alta,Fácil,Actual,true
86,Caperucita Roja,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
957,Lamine Yamal,Deportes,Deportista,Muy alta,Fácil,Actual,true
1150,Teide,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1207,Vinted,Marcas,Tecnología,Muy alta,Fácil,Actual,true
392,The Weeknd,Música,Cantante,Muy alta,Fácil,Actual,true
